x,y,speed,pos,angle
1504.74,1605.97,0.9,2.03,200.26
1534.36,1643.32,0.92,73.0,287.42
1589.96,1625.88,0.91,14.73,287.42
1624.4,1632.12,1.07,3.16,110.22
1576.22,1629.52,1.01,28.93,107.42
1521.77,1647.85,1.01,1.64,154.02
1526.94,1696.41,0.86,39.29,111.39
1475.9,1721.15,0.99,36.98,113.02
1429.28,1698.82,0.93,6.45,110.08
1374.82,1718.72,0.99,64.43,110.08
1348.86,1748.88,0.96,10.86,224.94
1339.76,1799.04,0.88,104.96,158.5
1318.61,1852.73,0.9,47.26,158.5
1297.25,1906.97,0.98,80.43,158.5
1275.82,1961.37,0.88,21.95,158.5
1254.86,2014.57,0.98,104.29,158.5
1233.77,2068.13,1.02,46.73,158.5
1212.16,2122.98,1.0,40.19,158.49
1181.7,2160.04,0.93,83.27,75.26
1125.11,2144.98,0.99,24.7,75.13
1076.65,2145.21,1.06,21.91,164.25
1104.28,2140.76,0.88,3.48,255.11
1159.75,2155.5,1.06,60.88,255.13
1205.33,2143.8,0.87,18.31,338.49
1226.72,2089.51,1.04,24.26,338.5
1247.89,2035.77,1.0,82.01,338.5
1269.01,1982.14,0.96,0.14,338.5
1290.07,1928.68,0.98,57.59,338.5
1311.18,1875.08,1.0,23.74,338.5
1332.45,1821.11,1.02,81.75,338.5
1354.16,1765.98,0.96,13.09,338.48
1354.18,1726.93,1.06,2.01,289.53
1408.73,1707.01,0.95,28.56,290.08
1433.34,1682.24,0.9,70.52,46.42
1390.96,1641.9,1.03,12.0,46.41
1354.42,1598.73,0.93,36.06,45.18
1353.11,1553.36,0.92,28.05,352.39
1360.55,1495.9,0.95,7.43,353.42
1367.19,1438.3,0.95,65.43,353.42
1373.66,1379.83,1.04,124.25,354.93
1378.81,1321.9,0.92,182.42,354.93
1335.09,1302.06,1.01,41.58,83.72
1277.09,1295.32,0.89,1.79,83.65
1218.9,1289.28,0.95,55.28,83.72
1160.59,1286.1,0.9,16.57,83.73
1102.19,1280.33,0.86,75.24,83.73
1044.24,1273.96,0.92,133.55,83.73
1023.22,1316.36,0.93,41.43,173.45
1016.56,1374.45,0.95,99.89,173.45
1017.84,1427.38,0.98,217.71,245.51
1071.04,1451.7,0.9,159.2,243.84
1123.56,1477.6,1.0,100.63,242.36
1175.52,1504.64,1.03,42.08,244.48
1227.64,1529.52,0.91,40.48,244.47
1279.95,1555.07,1.07,46.84,242.25
1332.01,1582.47,1.06,8.12,242.22
1375.31,1621.29,1.01,5.34,225.18
1420.1,1606.53,0.89,79.3,300.35
1471.26,1579.62,1.07,21.2,294.5
1500.27,1602.19,0.94,0.91,113.47
1476.73,1622.22,0.95,7.02,296.21
1498.22,1584.14,0.98,15.7,18.08
1459.12,1547.84,1.0,27.31,68.27
1405.55,1526.48,0.89,84.98,68.27
1358.34,1505.53,0.88,1.99,169.78
1305.38,1504.58,0.86,22.94,86.2
1247.02,1500.71,0.94,22.34,86.19
1206.44,1512.31,0.96,214.21,64.49
1153.92,1486.27,1.01,155.56,62.35
1102.26,1459.9,0.88,97.59,63.85
1050.37,1435.17,0.94,40.12,65.51
998.46,1412.64,1.06,182.35,70.84
943.33,1393.87,1.0,124.2,71.2
887.19,1379.23,0.98,66.24,77.58
829.55,1370.68,0.97,8.07,82.96
795.99,1344.46,0.93,10.16,353.46
802.55,1287.23,1.03,67.76,353.46
809.17,1229.54,1.06,27.44,353.46
831.24,1209.36,0.04,0.01,264.62
849.39,1244.83,0.92,13.53,263.73
907.35,1251.2,0.9,71.83,263.73
965.29,1257.56,1.03,130.12,263.73
1023.07,1264.27,1.03,1.6,263.73
1080.43,1270.21,1.05,48.59,263.73
1138.78,1276.62,1.08,107.29,263.73
1194.24,1279.49,0.95,4.95,263.72
1251.41,1285.77,1.06,62.46,263.72
1309.64,1292.18,0.96,16.36,263.72
1367.83,1298.57,0.88,74.9,263.72
1410.47,1302.78,0.92,19.0,264.76
1468.49,1308.1,0.89,77.26,264.76
1526.64,1313.43,0.94,135.65,264.76
1574.06,1304.23,0.91,9.9,264.2
1538.58,1313.24,0.95,147.53,84.76
1480.41,1307.91,0.94,89.11,84.76
1422.44,1302.59,1.05,30.9,84.76
1392.12,1274.33,0.96,37.55,353.55
1398.61,1216.93,1.03,11.91,353.55
1403.28,1158.48,0.88,135.99,353.81
1409.57,1100.44,0.92,77.55,353.81
1416.06,1042.49,0.91,19.15,352.39
1411.02,1019.47,0.0,0.0,82.55
1396.9,1004.63,1.05,2.63,355.79
1403.6,952.55,0.92,5.98,352.15
1424.9,911.17,1.07,29.93,352.98
1431.36,853.86,1.06,41.66,353.72
1434.68,796.13,0.97,21.32,353.31
1428.69,745.18,0.94,7.7,83.46
1370.51,738.71,0.89,20.06,83.88
1311.95,732.43,0.93,78.96,83.88
1253.29,726.35,0.95,17.92,84.35
1195.29,720.63,1.08,47.48,84.38
1137.62,715.05,0.9,8.3,83.59
1079.77,708.41,1.01,57.05,83.59
1022.46,702.62,0.98,114.55,83.62
964.22,696.23,0.96,173.03,83.92
929.79,726.43,0.96,32.44,162.12
912.06,781.38,1.02,90.17,162.12
893.96,837.46,0.89,149.1,162.12
875.4,893.31,0.9,5.8,161.51
852.1,897.61,0.88,3.39,89.72
834.56,949.16,0.96,5.73,174.08
836.0,978.29,0.94,227.2,173.77
829.59,1037.05,0.98,168.09,173.77
823.28,1094.9,1.01,109.9,173.77
816.95,1152.9,0.87,51.55,173.77
810.79,1211.21,0.98,0.43,173.74
804.04,1268.69,0.89,86.35,173.46
797.41,1326.47,0.9,28.19,173.46
790.62,1384.43,1.0,95.51,173.3
783.82,1442.21,1.0,37.34,173.3
777.43,1499.99,0.9,236.54,175.33
772.7,1557.96,0.89,178.38,175.33
767.93,1616.27,0.88,119.88,175.33
763.2,1674.2,1.01,61.75,175.33
757.2,1731.66,0.97,3.91,167.7
745.81,1787.76,1.03,14.34,173.07
739.45,1840.46,1.02,28.87,174.17
733.53,1898.36,1.06,72.69,174.17
727.69,1955.61,0.88,15.14,174.17
721.78,2013.33,0.95,21.6,174.14
724.88,2052.21,0.92,6.3,263.79
779.3,2063.28,0.93,67.23,254.86
835.55,2078.49,0.89,8.94,254.86
891.86,2093.41,0.9,65.54,255.25
948.76,2108.39,1.06,6.7,255.25
1005.03,2123.36,0.95,0.12,255.25
1060.33,2137.77,1.06,15.8,255.25
1110.19,2141.67,1.03,9.42,255.11
1167.04,2156.77,0.94,68.26,255.13
1207.21,2137.3,0.92,25.05,338.49
1228.76,2082.59,0.87,31.44,338.5
1250.01,2028.64,1.02,89.43,338.5
1270.97,1975.43,0.98,7.1,338.5
1292.32,1921.23,1.04,65.36,338.5
1313.49,1867.49,1.0,31.65,338.5
1334.83,1813.32,0.95,89.87,338.5
1358.03,1759.56,1.08,1.75,355.39
1361.86,1724.14,0.94,78.46,290.08
1417.31,1703.87,1.02,19.42,290.08
1464.85,1714.02,0.92,23.35,226.19
1514.83,1701.84,0.88,26.03,291.39
1569.36,1682.64,1.06,11.52,290.16
1623.98,1662.6,0.93,4.48,289.92
1674.58,1634.91,1.04,58.1,289.33
1682.88,1578.9,1.0,21.41,357.46
1689.26,1525.09,0.99,14.28,357.82
1694.52,1466.7,0.95,52.31,354.4
1700.07,1408.66,0.9,48.93,354.4
1709.46,1351.77,0.94,47.43,317.45
1724.64,1298.76,1.08,31.61,354.99
1729.76,1240.3,1.0,90.3,354.99
1734.94,1183.35,0.91,21.65,354.61
1740.4,1125.44,1.06,79.82,354.61
1745.85,1067.93,1.04,137.6,354.51
1739.47,1023.48,0.0,0.14,354.29
